damage,enemies,structures_destroyed,danger_percent
129,0,3,24.95
83,30,8,86.44
21,43,0,58.35
458,15,2,69.63
538,21,2,82.69
381,41,7,100.0
439,17,1,57.0
20,16,5,46.36
302,29,3,80.0
83,9,5,51.11
452,34,4,96.03
386,20,8,100.0
506,15,8,100.0
256,5,0,23.25
569,2,2,59.59
526,40,0,80.31
161,42,5,93.41
162,20,2,47.14
523,12,0,58.47
270,17,5,73.87
491,23,4,95.44
207,26,7,83.06
538,3,1,49.78
583,21,7,100.0
59,23,4,57.08
429,39,7,100.0
308,44,3,89.72
519,9,3,74.74
590,1,3,65.34
26,39,5,78.44
561,5,3,74.34
198,17,8,92.89
386,16,8,100.0
348,37,2,93.39
535,44,6,100.0
377,22,4,79.38
557,45,8,100.0
526,29,1,81.94
152,20,2,57.28
205,9,4,57.62
454,42,4,100.0
272,12,6,78.67
235,11,7,72.57
520,8,7,97.7
500,3,0,39.85
116,38,0,48.13
385,23,2,74.54
343,33,0,70.67
583,38,0,94.07
394,40,7,100.0
63,4,0,4.77
71,14,8,69.83
273,3,1,28.06
319,38,8,100.0
337,7,6,78.66
365,44,8,100.0
494,23,2,73.53
165,27,0,42.83
543,42,0,90.96
10,26,5,54.37
300,0,6,65.26
101,33,8,98.7
424,16,5,85.17
391,36,4,100.0
213,37,1,68.29
87,25,1,41.74
552,23,7,100.0
400,38,0,81.84
587,20,7,100.0
45,29,6,80.16
462,12,6,89.78
591,36,4,100.0
309,2,2,40.57
85,31,6,79.99
91,34,6,84.81
241,18,6,85.39
1,13,1,30.21
224,21,2,62.49
588,16,2,73.95
115,3,3,26.62
102,44,8,100.0
193,39,0,62.78
165,18,6,62.57
89,36,6,86.96
121,1,3,36.01
142,14,0,32.09
105,1,2,20.56
427,10,4,70.43
304,44,1,85.89
316,22,6,94.42
8,9,6,48.31
72,2,4,33.22
358,4,5,63.68
222,2,0,14.83
415,37,3,96.22
552,12,3,76.88
369,41,7,100.0
263,18,1,51.72
317,39,0,74.09
83,34,6,89.22
317,23,5,82.39
110,23,4,54.47
250,16,7,86.57
382,39,1,81.2
6,9,1,14.22
458,1,8,84.81
83,43,0,57.14
207,22,5,81.77
389,5,2,48.1
313,1,4,47.88
21,20,7,73.79
409,34,6,100.0
514,28,3,85.74
126,6,7,65.43
13,28,1,49.65
11,36,6,72.68
86,22,4,54.34
523,32,5,100.0
536,7,2,63.98
300,11,6,80.16
242,45,6,100.0
121,9,1,32.55
146,14,0,31.8
566,23,1,86.19
355,25,7,100.0
308,41,2,85.23
287,38,3,88.33
306,2,7,68.91
593,1,2,60.72
548,5,5,82.59
351,20,1,58.24
311,8,2,52.85
58,9,0,14.12
34,35,8,92.99
444,2,3,53.94
92,40,5,90.48
206,23,6,77.47
352,21,1,59.06
331,13,7,92.89
158,41,8,100.0
23,44,1,60.84
403,43,4,100.0
515,26,1,74.78
363,32,4,90.01
381,21,6,93.9
531,28,5,100.0
151,18,3,56.97
561,18,1,73.35
419,5,6,83.93
249,44,8,100.0
116,18,0,34.06
511,12,2,73.18
577,25,6,100.0
334,21,8,99.32
417,20,4,85.43
294,35,6,99.16
370,1,6,68.64
185,43,3,88.98
245,29,4,86.05
267,26,1,58.04
236,6,7,68.98
529,19,0,66.4
551,30,1,82.29
20,22,2,40.31
519,12,6,94.89
99,16,5,59.51
477,3,6,81.11
598,13,4,86.1
297,19,3,63.15
525,12,6,92.41
333,2,2,35.56
1,25,6,70.45
374,25,1,70.0
292,17,7,92.45
552,31,5,100.0
317,13,2,50.72
501,2,2,58.46
380,0,4,58.96
13,25,2,44.91
503,23,5,100.0
230,34,1,65.59
83,13,7,66.71
129,2,8,63.12
144,12,6,58.68
27,13,2,33.41
65,20,3,48.28
162,25,1,51.5
228,2,8,80.01
260,39,4,92.04
448,3,1,36.59
423,35,5,100.0
459,42,6,100.0
300,0,1,27.57
302,39,0,72.55
286,32,6,100.0
394,6,0,34.93
9,10,2,24.51
269,26,3,78.13
591,13,1,66.49
360,21,6,93.27
256,15,4,53.98
132,45,0,58.63
275,11,7,81.33
512,45,6,100.0
312,9,3,49.81
575,23,1,80.4
283,45,6,100.0
120,17,1,40.31
106,21,5,61.31
203,8,0,27.56
164,16,6,68.71
304,37,6,100.0
496,39,3,100.0
555,12,3,77.29
155,36,4,83.51
366,5,1,41.95
250,20,8,95.47
333,35,3,86.71
510,6,8,100.0
292,35,2,79.25
19,24,8,78.36
281,10,0,33.08
0,43,6,86.38
118,13,3,44.38
34,44,6,92.15
197,28,5,84.94
484,9,3,71.71
58,4,3,25.25
160,7,7,66.69
205,45,6,100.0
11,4,3,24.48
489,23,5,96.31
275,39,5,96.93
241,25,0,52.7
215,5,1,33.31
250,15,3,56.67
125,35,5,87.56
216,11,5,51.12
305,10,0,41.71
184,2,7,61.99
38,43,1,61.71
222,36,4,85.68
183,5,3,45.72
494,18,4,82.88
426,17,4,86.38
177,15,7,79.25
427,22,6,100.0
293,42,8,100.0
150,36,0,49.97
383,8,5,76.46
307,2,5,60.71
335,7,1,47.15
374,37,7,100.0
7,3,5,34.98
340,11,8,97.95
128,43,4,95.49
351,30,6,100.0
357,24,5,86.85
516,15,4,88.52
494,41,5,100.0
85,13,3,44.3
174,12,2,40.28
192,40,0,69.62
310,6,0,29.2
118,11,5,57.06
217,36,8,100.0
426,3,7,82.05
413,1,1,39.09
113,34,8,100.0
144,43,7,100.0
537,2,8,99.59
302,3,3,46.83
587,37,8,100.0
344,11,1,50.81
0,18,0,25.32
146,9,8,63.72
286,0,7,67.29
52,16,6,61.46
303,15,7,90.42
68,8,0,14.77
360,8,8,93.28
219,8,8,74.81
574,11,8,100.0
584,40,5,100.0
160,14,3,43.2
88,1,1,24.79
584,10,3,82.98
588,10,6,98.05
158,7,0,17.73
488,31,8,100.0
323,5,2,45.18
380,19,3,74.46
101,38,4,85.68
493,34,2,91.34
18,7,3,31.59
453,42,4,100.0
481,33,0,76.43
593,18,8,100.0
396,6,3,61.15
278,30,8,100.0
364,17,3,67.26
330,39,0,79.04
343,13,4,73.69
454,38,8,100.0
600,35,2,94.05
64,16,4,60.36
75,36,2,62.12
142,43,2,74.71
472,8,0,45.27
416,19,1,64.09
304,44,1,85.17
496,27,8,100.0
290,19,6,81.3
101,40,7,100.0
266,35,1,77.9
2,26,8,84.26
84,7,2,27.43
327,31,1,66.09
449,0,0,37.94
453,16,8,100.0
220,8,7,76.2
153,19,3,53.5
11,44,6,94.13
132,31,2,67.45
303,1,2,42.72
292,31,3,76.92
299,44,1,73.04
42,8,3,33.65
342,29,2,78.35
325,19,7,89.94
497,37,1,90.62
363,0,8,79.99
426,4,2,52.3
20,34,3,59.72
406,35,2,92.64
335,0,2,40.39
116,13,7,66.86
123,8,7,68.61
398,29,5,94.08
50,23,3,56.24
323,3,0,33.4
140,13,3,51.86
469,24,7,100.0
333,3,5,60.76
372,24,1,65.4
563,9,2,68.5
493,34,6,100.0
538,6,3,67.53
155,41,3,79.63
290,12,4,58.92
143,3,7,63.25
105,42,6,97.59
419,35,8,100.0
1,13,4,37.24
588,17,0,62.8
89,7,3,42.76
344,31,5,94.71
349,26,5,94.06
458,41,8,100.0
262,36,4,79.06
350,22,4,87.57
107,6,5,51.0
585,11,5,89.43
38,24,2,44.73
158,2,5,42.94
582,25,7,100.0
311,3,5,57.35
240,41,4,92.31
444,35,2,87.6
297,14,0,40.88
35,31,4,71.48
83,28,5,79.9
451,9,5,77.78
384,20,5,88.73
171,15,2,45.01
375,18,3,67.17
361,28,2,85.17
558,17,1,76.99
140,43,7,100.0
117,15,6,72.69
276,0,7,72.43
219,1,5,51.55
25,14,6,59.1
520,38,0,93.25
9,27,4,55.34
377,0,3,56.35
583,4,2,63.54
151,41,1,73.88
48,21,8,81.02
153,35,7,100.0
292,45,1,83.72
579,12,5,91.09
49,0,2,15.84
530,15,2,78.92
59,40,4,69.46
166,21,6,72.52
201,31,6,89.38
145,15,0,25.29
438,14,6,96.88
241,45,6,100.0
580,41,5,100.0
560,11,5,87.95
482,0,1,50.4
107,16,2,34.41
225,40,2,87.57
431,27,2,77.14
418,6,1,46.09
454,8,8,96.2
159,21,5,66.13
522,25,1,85.96
589,11,2,76.48
76,6,5,50.64
508,45,3,100.0
440,14,6,91.72
253,37,5,99.22
319,20,5,83.1
262,13,2,44.92
596,1,7,98.68
553,7,8,100.0
373,44,5,100.0
166,5,1,18.36
458,36,0,82.27
279,36,2,88.32
301,32,2,71.42
530,40,7,100.0
579,5,4,82.76
217,25,0,42.28
101,38,3,71.26
553,40,6,100.0
287,36,4,96.1
166,13,5,66.68
35,36,3,66.14
352,7,1,39.69
72,38,8,100.0
352,12,1,46.54
69,12,1,22.51
424,39,1,86.81
560,42,0,97.5
516,27,2,88.64
427,17,5,87.03
538,18,6,100.0
159,37,0,56.79
148,31,4,69.85
229,21,4,70.16
561,1,0,43.75
66,12,3,33.79
380,22,0,58.28
57,24,0,30.91
258,27,6,92.95
341,10,6,81.67
129,32,2,57.92
171,23,6,80.65
208,1,2,23.6
353,29,1,75.67
470,16,3,70.86
115,39,2,66.94
263,33,6,100.0
441,37,0,78.74
547,21,5,96.67
452,4,1,50.31
476,39,7,100.0
286,15,4,64.35
302,12,2,49.46
310,25,6,92.06
207,30,1,58.23
445,38,4,99.63
54,22,7,75.49
11,11,0,21.22
399,13,0,43.94
514,17,2,72.19
541,26,2,82.75
236,27,6,92.73
278,17,5,79.95
347,15,6,89.48
103,15,3,40.75
516,12,1,64.18
247,28,1,65.6
363,8,0,40.68
320,25,8,100.0
285,27,6,92.31
148,40,2,73.72
83,12,1,32.49
405,35,2,88.71
455,8,6,80.01
160,13,4,52.58
459,11,2,67.76
549,31,8,100.0
499,37,1,91.3
508,2,6,79.82
480,15,5,93.65
113,19,5,70.99
577,31,6,100.0
360,22,5,93.47
340,16,1,51.47
448,15,4,77.84
179,37,2,71.09
406,7,8,93.03
195,18,7,88.42
465,29,1,83.16
310,33,0,66.55
261,13,3,50.26
418,21,3,71.39
405,43,1,91.46
142,16,6,73.08
341,14,2,56.76
315,31,6,100.0
100,12,6,57.07
243,20,0,38.61
489,39,5,100.0
11,32,3,55.97
238,26,7,97.85
560,34,7,100.0
41,15,2,28.09
593,27,3,100.0
428,33,0,66.8
157,0,1,14.78
215,40,6,97.71
461,30,6,100.0
133,35,8,100.0
66,43,8,100.0
6,32,8,94.54
525,32,5,100.0
72,38,7,98.01
398,17,8,100.0
404,22,6,98.23
577,22,3,94.43
129,14,3,49.44
465,25,5,97.81
205,29,3,72.66
265,24,6,85.27
536,44,7,100.0
252,15,7,79.2
288,38,7,100.0
163,44,1,67.63
94,13,1,27.92
109,16,1,38.03
335,11,1,42.38
237,28,3,70.04
380,31,4,93.89
435,23,3,82.89
482,12,4,76.96
24,19,3,47.37
116,14,6,67.44
481,3,0,46.64
391,33,0,70.55
536,27,1,79.73
78,1,0,4.71
579,29,2,95.35
172,25,5,74.75
11,25,5,61.1
127,19,0,31.17
91,41,5,86.25
542,27,4,100.0
531,19,6,98.63
446,10,5,81.39
389,9,6,83.63
42,22,1,33.94
253,36,0,71.13
129,40,6,97.39
59,18,8,72.07
466,44,1,95.46
286,17,6,82.53
516,26,2,87.28
466,5,5,74.75
344,9,2,47.27
381,1,4,53.3
252,23,1,51.65
55,37,7,92.07
462,27,7,100.0
456,27,6,100.0
82,44,5,94.5
98,38,0,60.03
148,1,7,61.56
328,45,0,85.46
155,4,7,66.6
189,10,1,36.95
493,9,7,94.39
262,42,3,91.42
79,1,6,44.84
399,14,4,73.84
259,38,7,100.0
551,40,5,100.0
100,36,4,78.89
358,6,0,35.19
379,19,2,66.34
220,33,8,100.0
419,34,8,100.0
123,33,4,69.36
421,21,2,67.57
230,30,5,91.33
62,22,4,57.12
484,18,0,58.62
573,3,1,54.89
482,23,4,91.11
518,19,8,100.0
154,38,3,72.99
91,27,8,91.78
525,38,2,100.0
454,16,0,57.11
597,18,5,100.0
509,34,6,100.0
182,31,3,68.97
385,45,4,100.0
573,45,3,100.0
404,38,2,89.71
245,34,0,59.66
590,29,5,100.0
470,16,4,89.18
422,41,0,80.78
64,28,4,60.72
12,5,5,34.49
212,16,4,68.53
241,16,0,34.33
492,13,4,80.85
212,23,0,40.65
337,36,2,77.37
172,39,1,65.89
163,38,0,54.89
464,31,3,91.05
496,35,1,96.2
394,36,4,100.0
307,13,0,43.89
182,26,0,49.06
509,18,3,81.42
545,30,6,100.0
563,45,1,100.0
593,8,1,64.21
226,37,0,60.2
435,16,4,80.52
421,18,5,84.95
553,43,5,100.0
20,3,1,10.36
553,10,6,90.16
396,21,5,79.98
104,3,7,53.66
191,16,5,74.2
16,7,8,60.44
119,45,1,73.12
392,33,6,100.0
424,10,4,67.89
128,30,0,40.82
129,10,2,34.51
571,37,3,100.0
559,20,1,77.06
28,45,6,100.0
96,29,0,41.46
9,9,2,29.98
241,25,8,100.0
231,26,1,55.74
283,7,4,54.88
199,38,3,75.75
78,7,2,26.4
172,7,4,48.49
466,33,5,100.0
580,15,0,59.22
415,40,1,87.94
448,12,0,42.98
86,22,2,44.57
100,11,7,67.95
7,26,7,79.31
199,21,3,62.98
504,31,5,100.0
86,26,8,92.4
42,1,6,43.74
384,44,1,85.83
434,32,1,72.21
407,25,2,73.37
482,27,7,100.0
16,18,8,79.9
147,42,2,74.76
276,4,8,78.09
231,32,7,100.0
365,19,4,76.92
227,29,2,69.2
435,44,6,100.0
398,7,8,100.0
210,37,5,94.09
390,16,2,64.75
498,43,4,100.0
539,0,6,81.52
562,2,7,95.58
490,45,3,100.0
441,25,1,70.54
260,30,1,67.92
349,7,2,46.45
351,42,7,100.0
519,45,0,89.22
319,7,6,80.94
137,34,5,89.31
549,38,1,96.77
367,27,8,100.0
219,3,4,48.7
336,15,1,56.92
222,12,2,43.08
359,19,6,93.45
328,4,6,74.35
462,36,0,85.02
560,19,3,78.06
381,23,5,88.18
589,35,7,100.0
168,33,2,66.64
216,44,2,75.02
377,33,7,100.0
118,18,7,85.22
189,16,7,82.29
369,4,0,34.8
148,24,7,87.59
487,17,7,100.0
373,7,1,48.73
159,26,8,93.39
350,14,6,84.55
287,44,7,100.0
287,12,1,39.67
225,15,3,60.61
522,21,6,100.0
521,19,5,100.0
272,12,6,75.62
401,19,0,61.41
182,1,7,57.09
487,34,6,100.0
123,18,3,47.32
413,44,0,86.37
171,36,7,100.0
287,5,6,74.33
434,13,7,86.58
112,3,0,13.56
121,21,4,48.03
543,38,8,100.0
221,35,4,90.15
38,33,2,55.48
496,26,8,100.0
232,6,8,78.05
529,2,3,61.08
148,32,3,71.47
396,1,7,77.45
301,41,6,100.0
359,15,4,72.27
237,24,5,76.82
235,14,2,42.46
202,23,5,68.8
255,14,7,87.95
597,30,8,100.0
234,13,2,48.67
344,13,7,95.75
533,5,2,59.39
465,13,1,56.79
540,16,4,87.87
212,17,3,56.98
462,19,4,93.31
435,16,5,92.76
282,15,2,56.04
561,39,0,97.48
462,38,3,100.0
406,31,5,100.0
87,43,1,63.85
43,8,1,14.38
460,26,0,72.82
277,45,8,100.0
420,32,2,85.07
352,9,1,45.45
514,16,3,73.8
18,35,5,72.03
22,16,0,22.3
412,17,8,100.0
29,22,8,79.85
107,33,7,93.24
366,7,5,67.45
280,12,3,52.43
127,22,1,36.61
228,19,7,85.95
110,21,6,75.47
135,22,3,50.13
361,40,2,89.78
185,34,5,89.22
583,2,0,45.08
128,33,1,62.03
260,32,6,96.66
514,45,2,100.0
448,16,0,54.39
103,44,1,60.46
482,18,8,100.0
223,29,6,87.82
490,22,6,100.0
472,14,7,100.0
9,13,7,67.66
404,1,8,81.2
301,38,1,74.39
230,17,7,89.83
65,5,7,58.55
111,31,4,74.76
12,20,4,46.76
392,39,3,96.14
499,27,4,97.65
597,26,1,82.03
233,1,1,19.64
313,32,4,87.4
565,15,2,81.62
11,38,0,46.72
208,21,8,99.34
13,42,1,58.66
417,12,1,51.2
436,1,3,60.69
376,13,1,53.03
19,37,6,88.77
586,40,0,90.61
69,27,1,48.58
210,6,4,54.28
100,17,1,36.06
131,40,8,100.0
380,35,3,91.72
131,40,8,100.0
19,35,0,44.46
535,43,0,96.8
226,3,0,25.73
153,29,3,63.95
468,23,8,100.0
404,19,7,100.0
201,45,6,100.0
37,30,0,42.1
187,23,2,51.26
56,6,8,67.76
19,25,8,88.93
272,12,4,62.16
118,7,5,50.58
582,4,5,80.79
515,43,3,100.0
220,12,0,30.37
525,28,4,100.0
514,19,0,63.63
335,13,0,37.11
54,31,4,68.54
499,26,4,100.0
535,24,6,100.0
161,3,1,28.86
593,20,5,100.0
158,17,1,35.34
187,38,4,84.35
59,14,3,41.92
318,37,4,89.18
210,23,1,52.25
405,7,7,79.25
108,27,7,90.63
75,20,5,66.13
541,15,2,76.3
313,15,3,59.84
116,34,0,50.76
18,16,8,70.59
431,8,4,65.96
349,34,7,100.0
182,28,2,63.95
112,38,3,74.24
182,17,3,60.26
480,11,7,100.0
145,18,8,87.83
112,21,2,40.72
475,14,6,92.66
302,0,8,71.9
117,1,1,16.33
160,7,3,37.93
400,21,2,68.69
197,24,7,94.3
259,1,3,43.32
46,8,8,69.31
398,8,0,35.04
558,12,0,59.27
77,5,3,35.53
123,29,2,63.67
74,14,2,29.53
136,14,1,32.77
399,6,1,49.76
504,10,7,97.05
499,39,0,83.08
572,37,7,100.0
137,39,2,66.97
49,1,1,4.86
253,38,8,100.0
562,9,4,85.35
425,43,4,100.0
546,16,5,96.41
301,6,3,54.16
580,39,6,100.0
348,38,6,100.0
48,3,8,60.98
73,34,5,78.92
260,35,0,62.17
355,30,8,100.0
581,24,8,100.0
259,40,4,96.76
294,12,6,86.48
312,17,0,45.81
181,20,3,64.02
363,0,3,49.97
187,35,4,82.56
568,7,5,86.93
542,20,3,81.97
595,42,5,100.0
547,20,6,98.79
407,26,2,73.31
413,18,8,100.0
341,22,7,100.0
219,42,0,73.64
162,34,1,59.31
219,39,1,71.44
269,41,8,100.0
399,4,8,83.4
181,40,8,100.0
204,7,0,21.41
581,10,6,96.79
555,15,2,73.56
227,38,8,100.0
595,23,7,100.0
249,20,2,60.48
440,22,0,62.99
532,37,8,100.0
195,7,0,31.42
518,6,2,55.54
69,1,5,46.0
398,29,5,97.98
202,12,3,52.34
147,22,1,43.36
471,28,5,100.0
198,37,4,88.18
425,36,5,100.0
491,19,6,100.0
141,32,8,99.51
312,28,6,100.0
164,14,3,54.21
313,22,4,81.17
20,41,5,81.89
81,2,8,58.38
580,36,4,100.0
130,28,4,74.33
598,44,6,100.0
304,7,1,34.95
370,21,2,69.96
383,28,1,72.02
444,1,1,40.14
424,40,2,90.56
160,44,5,100.0
177,0,4,41.59
489,43,4,100.0
326,19,1,50.21
597,20,1,76.81
288,36,0,69.17
592,7,2,71.14
572,26,6,100.0
572,34,4,100.0
353,5,6,74.14
27,44,8,100.0
42,43,5,92.79
422,18,1,63.3
597,17,0,77.55
176,0,0,16.52
528,24,8,100.0
493,26,5,100.0
197,6,5,52.34
576,43,3,100.0
516,41,1,97.71
513,28,2,86.79
21,30,2,43.61
111,43,7,100.0
56,42,5,86.11
65,35,6,89.11
97,18,8,81.3
143,5,0,17.15
434,24,1,66.07
85,30,8,94.89
587,8,4,87.84
343,19,3,70.36
293,9,0,28.21
570,36,8,100.0
242,26,8,100.0
560,12,3,77.8
31,40,8,100.0
390,1,0,29.95
276,20,4,74.09
531,32,0,79.68
153,23,3,58.59
382,43,4,100.0
67,41,2,71.25
213,33,1,62.26
375,8,5,74.53
212,1,2,26.39
78,29,0,47.98
380,21,4,86.71
57,45,1,57.42
25,10,1,17.29
446,42,3,100.0
65,16,3,38.62
253,35,3,81.21
43,12,6,58.55
96,6,0,14.14
553,15,7,100.0
226,32,8,100.0
435,44,5,100.0
600,0,3,71.43
378,10,5,78.64
177,5,6,69.17
426,19,5,80.55
306,34,0,68.28
503,43,4,100.0
267,36,7,100.0
585,40,7,100.0
7,25,8,78.75
507,11,3,76.38
475,29,5,100.0
296,27,6,96.28
163,26,4,71.06
484,41,7,100.0
596,18,2,89.54
71,4,7,53.59
566,4,4,80.31
558,40,0,94.06
237,26,5,77.01
103,27,1,44.36
209,25,6,95.06
553,26,8,100.0
467,41,2,100.0
453,20,3,78.89
267,0,3,38.7
385,27,3,82.81
386,14,2,59.62
258,16,4,59.87
282,25,8,100.0
39,19,7,74.25
485,24,1,72.58
219,12,8,84.02
128,32,1,56.08
519,24,6,100.0
259,7,4,59.71
365,4,6,68.61
543,5,4,77.72
523,22,5,100.0
15,29,7,85.44
128,13,0,20.19
574,22,0,73.34
108,10,4,53.5
532,30,0,78.16
268,5,2,42.37
161,10,8,80.0
259,12,6,70.02
101,11,5,61.12
505,1,7,89.1
570,34,7,100.0
246,35,5,87.53
536,16,3,84.76
130,27,3,64.33
352,27,3,86.56
195,21,5,72.05
381,37,0,70.93
226,6,1,29.05
475,14,5,85.28
476,31,0,70.8
264,10,8,90.28
371,23,5,95.09
485,2,6,79.42
433,29,0,67.87
210,5,7,61.04
571,1,4,75.66
376,13,4,78.29
394,40,5,100.0
449,17,6,94.85
363,43,6,100.0
456,30,4,100.0
225,12,0,33.2
130,25,8,93.18
587,43,5,100.0
475,11,8,97.5
276,17,3,56.19
155,8,1,25.27
217,20,2,58.41
189,39,3,80.08
416,42,7,100.0
545,23,2,82.01
40,33,7,87.75
306,7,5,72.19
337,43,3,97.46
313,32,6,99.29
74,22,4,58.42
278,12,4,69.66
175,13,8,79.59
272,13,2,45.64
288,15,3,58.54
271,37,4,92.6
65,38,0,53.55
482,25,6,100.0
247,25,7,91.08
155,0,5,41.1
46,31,8,91.59
453,14,2,68.78
200,20,1,41.46
123,17,4,53.81
0,29,8,84.43
190,12,0,33.37
578,23,0,75.95
515,29,2,92.61
441,1,2,54.83
142,18,4,57.74
190,43,3,81.55
532,24,5,99.14
226,13,7,71.83
312,5,7,74.62
301,11,3,55.24
459,19,0,62.67
400,22,6,97.47
550,29,5,100.0
392,29,4,91.7
206,37,3,76.22
209,29,5,88.12
114,40,7,99.48
250,29,5,82.74
218,35,2,75.71
406,33,8,100.0
442,15,2,59.47
353,23,3,78.76
557,13,4,83.19
549,25,1,78.92
141,7,1,26.93
500,13,5,90.45
546,30,1,87.96
541,1,0,44.28
506,3,7,87.88
595,0,0,49.25
280,19,5,77.23
423,13,0,56.66
269,39,7,100.0
153,24,4,63.35
82,24,2,46.45
425,2,4,62.59
274,4,0,31.92
283,37,0,72.68
172,25,3,61.68
326,39,8,100.0
62,37,8,97.11
72,37,0,51.17
374,3,2,55.74
507,6,3,69.42
397,29,1,66.68
119,29,6,80.42
436,18,2,66.98
464,38,0,79.43
285,34,0,62.05
264,39,2,82.4
319,32,5,99.15
375,32,3,92.27
88,13,0,24.74
202,37,6,91.74
333,9,1,39.71
221,27,4,75.45
40,13,7,64.89
67,35,6,89.81
513,37,7,100.0
597,15,5,98.46
126,20,6,74.03
254,27,8,100.0
15,32,5,72.45
476,5,8,100.0
61,40,1,59.04
431,14,1,57.66
267,43,1,79.33
34,2,5,42.81
575,42,1,98.47
493,34,2,100.0
561,13,7,100.0
468,1,7,81.52
324,28,3,82.0
303,3,8,83.96
275,25,7,91.89
200,11,0,24.83
444,1,7,83.33
323,16,0,54.42
34,34,3,68.01
481,9,5,80.79
479,21,6,92.84
64,40,3,72.95
7,42,7,97.91
300,20,7,91.97
342,14,8,92.76
430,34,5,100.0
423,20,3,73.57
331,20,1,64.47
437,20,6,100.0
587,43,2,100.0
173,31,2,64.4
558,4,2,59.8
526,38,3,100.0
25,8,1,24.66
405,17,4,82.27
231,20,2,56.29
532,7,4,80.66
549,43,6,100.0
504,33,8,100.0
178,9,1,35.46
131,40,8,100.0
454,23,5,99.85
347,39,5,100.0
539,23,2,82.7
405,31,8,100.0
75,32,3,61.23
578,37,4,100.0
491,43,2,100.0
193,33,4,77.28
161,10,7,68.35
346,30,7,100.0
360,17,7,94.07
583,22,5,100.0
86,21,0,33.17
261,42,5,100.0
213,17,6,74.14
572,39,8,100.0
261,40,7,100.0
282,38,7,100.0
466,19,6,100.0
379,12,1,53.12
361,44,0,86.61
448,0,1,43.05
440,3,5,70.61
92,23,1,46.17
423,35,3,97.29
141,35,2,63.34
290,44,5,100.0
431,1,7,80.35
48,27,5,67.42
301,25,1,64.15
189,22,4,67.16
135,14,5,61.66
554,35,8,100.0
403,26,5,92.81
340,5,4,60.74
317,34,0,71.56
362,38,4,96.73
381,37,4,100.0
232,34,5,88.54
343,35,6,100.0
548,9,3,78.19
552,29,6,100.0
528,40,4,100.0
570,37,5,100.0
182,28,3,70.49
40,42,7,100.0
550,38,8,100.0
396,3,1,37.8
493,4,3,64.52
332,3,7,77.19
126,35,7,95.98
557,44,8,100.0
556,15,2,80.41
0,24,0,27.11
167,13,8,80.74
18,10,0,10.16
331,28,2,65.93
583,33,2,100.0
455,21,8,100.0
108,13,0,24.43
267,23,6,84.01
444,38,1,86.88
239,25,6,92.51
300,42,0,74.4
102,35,7,95.78
249,38,1,72.85
452,15,2,62.21
519,37,7,100.0
152,31,2,57.34
173,5,0,16.08
342,33,8,100.0
430,7,7,87.6
323,29,3,78.73
419,26,7,100.0
593,6,4,77.02
484,26,2,86.94
411,24,0,65.02
83,45,4,85.94
112,40,5,87.55
331,14,3,60.46
377,24,6,96.72
40,21,2,35.8
104,17,6,63.88
201,11,0,32.72
449,22,6,100.0
265,44,0,80.54
209,38,0,61.12
562,24,1,78.81
117,9,1,25.03
376,29,3,83.1
550,9,0,52.16
539,33,3,100.0
83,45,1,67.26
453,12,3,68.1
513,28,3,99.14
386,37,8,100.0
349,40,8,100.0
295,44,0,78.63
257,8,4,59.21
80,12,6,67.23
267,36,3,87.1
418,13,4,72.7
234,36,1,69.99
310,8,2,49.9
356,7,6,71.9
212,38,6,100.0
573,39,3,100.0
48,2,0,0.0
126,39,0,51.88
222,32,3,74.95
278,31,3,80.35
407,6,5,66.83
504,18,6,100.0
293,33,8,100.0
276,13,8,89.95
437,45,4,100.0
106,18,2,40.71
419,25,2,73.28
428,16,5,89.34
374,27,0,63.8
72,18,6,61.62
29,26,2,43.32
187,18,4,68.82
363,32,6,100.0
450,6,6,85.94
194,28,8,99.21
155,42,0,62.79
171,4,2,32.66
40,29,8,81.6
62,42,7,95.01
22,7,1,17.01
359,41,7,100.0
74,11,7,68.61
559,41,1,94.0
117,12,7,71.52
379,25,2,67.82
289,17,6,81.11
439,41,8,100.0
6,19,3,50.39
195,15,5,60.74
420,36,8,100.0
567,2,4,66.85
192,26,0,52.96
558,14,2,76.05
147,33,8,100.0
201,44,2,87.78
443,21,1,67.73
418,39,3,100.0
426,22,4,87.01
478,3,6,83.09
474,40,6,100.0
125,22,8,87.54
394,8,7,89.86
575,23,1,81.21
324,20,7,94.96
391,40,7,100.0
439,45,4,100.0
203,15,2,44.59
485,24,8,100.0
30,25,6,72.1
387,44,0,78.59
433,8,7,94.75
375,14,4,73.82
343,38,5,100.0
442,32,8,100.0
578,0,7,94.56
74,4,2,16.67
556,8,4,78.08
154,43,3,78.33
429,5,0,38.82
362,27,4,89.25
447,44,6,100.0
233,25,0,52.1
562,27,3,93.43
261,39,5,100.0
124,14,8,83.96
244,5,7,75.07
541,26,1,79.6
484,37,2,87.62
121,3,4,41.61
124,10,6,60.42
548,20,2,76.93
169,29,6,85.09
123,17,4,61.98
34,34,5,71.47
86,2,5,43.65
200,11,3,49.57
368,26,7,100.0
76,29,8,95.46
58,20,1,41.67
430,37,8,100.0
499,20,3,82.45
108,37,5,88.03
277,39,6,100.0
67,14,3,41.15
68,17,7,70.12
164,28,7,83.35
488,37,0,80.33
304,20,7,89.26
364,16,2,64.06
378,40,4,100.0
342,17,7,92.13
553,36,5,100.0
